Fecha,Ventas
2018-01-31,114.90142459033697
2018-02-28,118.06724839004427
2018-03-31,161.98434469531622
2018-04-30,205.04216231883595
2018-05-31,164.31980353317542
2018-06-30,170.78924996248617
2018-07-31,226.03999106995622
2018-08-31,197.45958924588643
2018-09-30,152.16399362397556
2018-10-31,171.93981810678144
2018-11-30,130.6140456871679
2018-12-31,120.73618568686287
2019-01-31,135.2441372996913
2019-02-28,68.34825285489897
2019-03-31,77.13570951407831
2019-04-30,120.80902929204201
2019-05-31,121.38724363367321
2019-06-30,179.63665346539565
2019-07-31,164.29903997531397
2019-08-31,171.61810997263208
2019-09-30,279.61811716117643
2019-10-31,247.93677849884486
2019-11-30,271.67758152317
2019-12-31,236.67775562704392
2020-01-31,267.21602552171885
2020-02-29,285.53183526775996
2020-03-31,241.65001321111404
2020-04-30,278.0648953308158
2020-05-31,237.7273133160178
2020-06-30,236.17453965287567
2020-07-31,218.14174561277724
2020-08-31,286.74355095443696
2020-09-30,230.67275238833656
2020-10-31,204.81767547635465
2020-11-30,272.28394348830795
2020-12-31,227.01416471944628
2021-01-31,289.73369989418285
2021-02-28,246.69592238741427
2021-03-31,287.9942185204756
2021-04-30,354.5425982400921
2021-05-31,388.31475328032246
2021-06-30,384.20711046300596
2021-07-31,383.060248385223
2021-08-31,379.3114506239415
2021-09-30,340.5872204932581
2021-10-31,355.7519553794006
2021-11-30,353.23589537839416
2021-12-31,387.58237209526396
2022-01-31,356.00046210354174
2022-02-28,285.42290823467124
2022-03-31,344.9304653585738
2022-04-30,325.810127677543
2022-05-31,324.86416999283017
2022-06-30,376.73972318133684
2022-07-31,407.08706688797713
2022-08-31,425.039875226873
2022-09-30,394.3132404647476
2022-10-31,432.14933391500574
2022-11-30,471.0021293560631
2022-12-31,506.0866411703773
2023-01-31,473.1730320598988
2023-02-28,487.101818782657
2023-03-31,459.05799981666337
2023-04-30,451.07700829019
2023-05-31,502.42859989662566
2023-06-30,507.8502033447373
2023-07-31,454.00356546139426
2023-08-31,477.0439140211252
2023-09-30,452.01607082715765
2023-10-31,420.78824448896574
2023-11-30,455.4579915235041
2023-12-31,500.86217889364787
