Fecha,Ventas
2020-01-31,57.483570765056164
2020-02-29,60.82607538913132
2020-03-31,68.95272840478918
2020-04-30,74.84683189131307
2020-05-31,65.25780455495475
2020-06-30,63.11502950096839
2020-07-31,70.0389212203941
2020-08-31,65.17691960792015
2020-09-30,60.509770927468104
2020-10-31,69.76683189437117
2020-11-30,71.25434010736626
2020-12-31,79.09992266072015
2021-01-31,90.49552564354445
2021-02-28,86.23670995741253
2021-03-31,91.37541083743484
2021-04-30,98.70595924878238
2021-05-31,95.65013011261361
2021-06-30,100.14266523440494
2021-07-31,91.88845105096537
2021-08-31,88.56394174119343
2021-09-30,104.47110098746491
2021-10-31,100.21086445972294
2021-11-30,108.19478388058248
2021-12-31,108.59054478321843
2022-01-31,120.84951494880265
2022-02-28,130.64343841496515
2022-03-31,128.53074639860276
2022-04-30,137.6816012724299
2022-05-31,131.99680655040598
2022-06-30,131.39867410817646
2022-07-31,127.70575265313873
2022-08-31,139.17256545612886
2022-09-30,131.36108530488178
2022-10-31,130.33690560309037
2022-11-30,146.25558170337308
2022-12-31,143.8957817501449
